Svid,time,A,P,X,Y,Z,x,y,z,lat_bot,long_bot,lat_top,long_top,x_bot_ECEF,y_bot_ECEF,z_bot_ECEF,x_top_ECEF,y_top_ECEF,z_top_ECEF
9,105360,8.67835718798547e+19,23875068.4370919,-8073693.60265574,18256119.3912837,-17510471.0596407,-4792809.62501107,3636859.5402914,1307837.87662487,0.191570012576109,2.48185415832267,-0.0646368120279286,2.36499711535773,-4814780.05711665,3734757.38068399,1181821.11356857,-5101534.02191849,5012501.65731945,-462926.075027254
24,105360,6.02624263815662e+19,20090555.812708,-22985134.3612569,12776300.9812237,3778764.25146571,-4792809.62501107,3636859.5402914,1307837.87662487,0.213309703331529,2.49399811081735,0.201229197474625,2.51878598931818,-4838090.40335707,3659607.65127188,1313988.02351981,-5695974.53114039,4090590.5994467,1430507.95973631
2,105360,9.29448563648226e+19,24265013.3386531,-24349651.5673853,-8965662.77525235,-6208449.8891421,-4792809.62501107,3636859.5402914,1307837.87662487,0.202798520224684,2.52006370694621,0.0782426043647617,2.80157435449035,-4942854.49508235,3540169.90967629,1250171.08029057,-6737751.30604483,2383529.83553215,560337.77382915
26,105360,6.9185930572787e+19,21358348.7853452,-6986208.29326111,24251590.2742405,7200266.39394638,-4792809.62501107,3636859.5402914,1307837.87662487,0.215492147132215,2.48428131912788,0.235901111237631,2.35760029652987,-4800026.53816994,3704687.93995897,1327225.6630405,-4928799.04076593,4914960.61194478,1673164.9478258
27,105360,9.74564818655036e+19,24958500.4718772,-15076812.4447832,-8829112.97918653,20350275.638069,-4792809.62501107,3636859.5402914,1307837.87662487,0.242911628620456,2.51853599359194,0.488627598001855,2.77176997389577,-4892806.55006604,3515646.14297776,1492997.80462821,-5904729.27801933,2289022.50823431,3366730.81541593
4,105360,6.95695721887306e+19,21965636.2517724,-24967913.9137353,6000290.24351663,-7125152.1988863,-4792809.62501107,3636859.5402914,1307837.87662487,0.207777524684436,2.4979960483635,0.110856957322877,2.58125256306238,-4858428.74301752,3644546.55077698,1280409.74723366,-6026919.69154144,3781430.47190375,791992.317950083
13,105360,8.01926087764549e+19,23462095.8586522,-15150970.941046,-22047.4162540524,21846339.3438055,-4792809.62501107,3636859.5402914,1307837.87662487,0.228554746267347,2.49975120732974,0.421863850636011,2.60380515434071,-4842476.41456237,3619315.2912443,1406318.81343848,-5612364.51349375,3347360.75848559,2932878.14834561
10,105390,6.7862366972771e+19,21928740.1276213,-14711449.5804327,7175457.77728292,20960788.67237,-4792446.78746752,3637017.82822345,1307899.26470817,0.223837434926084,2.49428184964979,0.370169701188184,2.52348248040886,-4827696.84310561,3649592.70169408,1377741.51191076,-5439594.10895747,3867876.91588405,2590116.3388607
8,105390,7.59572052478284e+19,22657935.6051357,-20535319.2992316,-3394751.25766092,16330936.0902091,-4792446.78746752,3637017.82822345,1307899.26470817,0.223159032492126,2.50334572378077,0.346989945447321,2.66170394444792,-4861335.26079168,3606247.8504616,1373637.84391778,-5973975.97169059,3109271.67608498,2435403.56430301
9,105390,8.80572620676543e+19,23853954.9299103,-8135626.52523212,18280088.1904591,-17454868.4605826,-4792446.78746752,3637017.82822345,1307899.26470817,0.191840665714991,2.48191686474026,-0.0628460365737326,2.36575187169008,-4814623.76384075,3734152.60736397,1183436.48101757,-5105689.75718211,5009016.70527859,-450099.27062189
24,105390,6.08647437235998e+19,20094425.2020288,-22999576.4949093,12776083.4191705,3683104.8304748,-4792446.78746752,3637017.82822345,1307899.26470817,0.21328713168316,2.49394569755142,0.200571761220661,2.51880950047302,-4837785.14294843,3659775.40787404,1313813.86607649,-5696695.29203874,4090905.20786981,1425862.72821971
2,105390,9.73337165541183e+19,24261887.6953405,-24366763.6277613,-8986831.82393611,-6119939.39407639,-4792446.78746752,3637017.82822345,1307899.26470817,0.202950949917827,2.51996998540243,0.0796017936198735,2.80160588588966,-4942227.28437927,3540421.53373886,1251062.26884413,-6736913.26964075,2382994.36855975,570035.28586085
26,105390,7.04481115171105e+19,21356638.8198008,-6993010.94664926,24222728.2355689,7291385.5866593,-4792446.78746752,3637017.82822345,1307899.26470817,0.215556064091113,2.48424349299147,0.236704685495786,2.3578243238231,-4799683.20677,3704712.66526123,1327575.58986125,-4928823.07977648,4912782.88519127,1678715.84656712
27,105390,1.02416968090424e+20,24974983.6982512,-15010679.3691889,-8866735.58539533,20381225.2974929,-4792446.78746752,3637017.82822345,1307899.26470817,0.243348167362903,2.51877944941239,0.490470191966276,2.77297279040706,-4892997.21049078,3513977.20597661,1495586.41957757,-5901681.65395639,2279679.44925804,3378394.14591888
4,105390,6.8618140961182e+19,21980383.4771129,-24945440.8373764,5983366.45148609,-7215787.11892514,-4792446.78746752,3637017.82822345,1307899.26470817,0.207731140929012,2.49795621202512,0.109923943908448,2.58139806952961,-4858193.4638721,3644672.5034188,1280091.78116249,-6027967.38223461,3780865.53836345,785337.20548092
13,105390,7.84700578787073e+19,23476047.324684,-15145265.5017599,-104789.41547898,21850415.8640397,-4792446.78746752,3637017.82822345,1307899.26470817,0.228654789304091,2.49978030006654,0.42263810236943,2.60487914449431,-4842332.07948597,3618987.84506812,1406883.84732593,-5613913.78788258,3340115.96435017,2937890.08725905
10,105420,7.10159011144237e+19,21923830.2220331,-14776173.5076674,7129240.94409621,20931582.6783002,-4792148.99064972,3637207.70685212,1307989.16421671,0.223825004934554,2.49426964086365,0.369740155937069,2.52414698393097,-4827587.71978786,3649602.83066468,1377643.96264766,-5442986.26038319,3864845.9076671,2587209.38280655
8,105420,7.56042549382934e+19,22671713.3543426,-20479697.8265184,-3425987.43876373,16392917.1987176,-4792148.99064972,3637207.70685212,1307989.16421671,0.223268219608931,2.5033313570849,0.348137311598194,2.66207993162156,-4861084.44659286,3606170.06146388,1374276.53662955,-5972617.31525717,3105711.15330154,2443111.03124771
9,105420,8.27284799085779e+19,23832859.0879262,-8197337.61672528,18304064.6999487,-17398931.3417758,-4792148.99064972,3637207.70685212,1307989.16421671,0.192108795949159,2.48197939824443,-0.0610621246656426,2.36650037355435,-4814527.26998071,3733595.61916507,1185050.69047107,-5109845.65084511,5005593.42463256,-437325.653818446
24,105420,6.09606541383045e+19,20098403.2243856,-23013689.8491187,12775745.0211564,3587374.9303739,-4792148.99064972,3637207.70685212,1307989.16421671,0.213266572497807,2.4938955857826,0.199915376202201,2.51883446314669,-4837544.93107891,3659974.85364571,1313667.87499421,-5697478.35124163,4091251.97279899,1421239.4581543
2,105420,9.95511651500103e+19,24258782.4749098,-24383624.3313319,-9007799.84368258,-6031313.3124113,-4792148.99064972,3637207.70685212,1307989.16421671,0.203104849036823,2.5198784136671,0.0809619538918388,2.80163391233311,-4941666.06438321,3540704.27903891,1251977.50555047,-6736121.03721826,2382501.72991922,579743.914291633
26,105420,7.11731941848211e+19,21354992.4906582,-6999835.30489019,24193531.2793864,7382360.0502018,-4792148.99064972,3637207.70685212,1307989.16421671,0.215621948670728,2.48420804959082,0.237508668379787,2.35805181352927,-4799404.9003745,3704769.31066944,1327953.54343998,-4928911.30324566,4910636.06128638,1684285.83488688
27,105420,9.93555079251645e+19,24991505.8117419,-14944504.0518998,-8904525.24704103,20411796.0130947,-4792148.99064972,3637207.70685212,1307989.16421671,0.243796327978856,2.51903273057699,0.492321028045031,2.77418925249596,-4893266.31094382,3512292.21478247,1498262.82430054,-5898664.35179599,2270271.65259159,3390132.23418653
4,105420,6.70490467241037e+19,21995200.2053156,-24922688.7110349,5966258.93821154,-7306285.22169828,-4792148.99064972,3637207.70685212,1307989.16421671,0.20768645591626,2.49791885779118,0.108989290607516,2.58154676966997,-4858024.46643686,3644829.32853389,1279799.68536441,-6029086.1170591,3780318.1240289,778678.179363906
13,105420,7.70198925432861e+19,23489982.8319691,-15139705.5716596,-187554.584520111,21854075.3003619,-4792148.99064972,3637207.70685212,1307989.16421671,0.22875719471672,2.49981257358539,0.423410488554016,2.60596201302851,-4842255.32957816,3618686.9252365,1407480.20323939,-5615542.85293043,3332857.03519904,2942918.24974018
10,105450,6.97422109266241e+19,21918925.0982147,-14840888.2371604,7083205.46663018,20901977.5166807,-4791912.20218408,3637426.21531063,1308104.82151843,0.223814113433259,2.49425954339874,0.369307744601778,2.52481030494982,-4827538.97010763,3649642.58215988,1377571.23807715,-5446429.74130673,3861859.32651357,2584307.81908586
8,105450,7.922966830543e+19,22685565.9926299,-20423914.7330247,-3457417.36085876,16454580.6946779,-4791912.20218408,3637426.21531063,1308104.82151843,0.22337992077351,2.5033198599221,0.34929000917357,2.6624620694539,-4860895.88950582,3606116.82485413,1374945.8902554,-5971313.99656046,3102135.15275833,2450874.6482274
9,105450,8.23563475361105e+19,23811775.3428617,-8258825.93733919,18328047.5538137,-17342660.7290326,-4791912.20218408,3637426.21531063,1308104.82151843,0.192374284547711,2.48204182554417,-0.0592852752357149,2.36724268886069,-4814486.69996655,3733082.87831509,1186662.03472708,-5113998.65709946,5002228.02720547,-424606.003305782
24,105450,6.16780639722671e+19,20102489.1423345,-23027474.7013822,12775284.3253479,3491576.37509447,-4791912.20218408,3637426.21531063,1308104.82151843,0.21324776280875,2.49384776592747,0.199259816022252,2.51886089023466,-4837365.73783872,3660203.02624969,1313547.29153359,-5698319.70366762,4091627.89616332,1416635.3368521
2,105450,9.91368321990745e+19,24255698.3758484,-24400232.6811331,-9028567.68454034,-5942573.34746015,-4791912.20218408,3637426.21531063,1308104.82151843,0.203259962002689,2.51978897628899,0.0823228112452637,2.80165851735908,-4941166.66588773,3541015.29991247,1252914.16494177,-6735370.08023148,2382049.6697063,589461.548433622
26,105450,6.93393872191645e+19,21353410.0085161,-7006682.73471526,24163999.9615129,7473187.98468324,-4791912.20218408,3637426.21531063,1308104.82151843,0.215689539850549,2.48417497553574,0.238312850975316,2.35828272073202,-4799187.60245446,3704854.88929275,1328356.78308891,-4929059.98240266,4908516.82421778,1689872.34924722
27,105450,9.54270176892929e+19,25008060.9295672,-14878288.0996706,-8942481.60199602,20441987.1662728,-4791912.20218408,3637426.21531063,1308104.82151843,0.244256194092114,2.51929609922625,0.494180035023401,2.7754196311973,-4893610.23868662,3510586.61133335,1501026.27169135,-5895673.14469603,2260795.89236144,3401942.31333961
4,105450,6.90900201580823e+19,22010083.8339884,-24899658.6387745,5948966.72176937,-7396644.78424051,-4791912.20218408,3637426.21531063,1308104.82151843,0.207643200275723,2.49788397938628,0.108052721350112,2.58169870356803,-4857917.71799347,3645014.05833045,1279530.68520079,-6030271.64270524,3779785.18215693,772012.480904436
13,105450,7.99854422938411e+19,23503899.3401215,-15134291.3371616,-270341.103024399,21857317.5966048,-4791912.20218408,3637426.21531063,1308104.82151843,0.22886171440128,2.49984803123174,0.424180858697843,2.60705381697435,-4842242.17975381,3618409.52302806,1408105.16037161,-5617247.95042409,3325581.13387107,2947959.60542507
10,105480,6.90094554251654e+19,21914021.6124487,-14905592.0639558,7037351.96507863,20871973.7719321,-4791731.1643364,3637671.06224514,1308246.54694899,0.223805003362589,2.49425133536536,0.368872734539706,2.52547224222371,-4827545.33153993,3649709.66367551,1377523.61185168,-5449919.26678421,3858914.91210353,2581411.42699026
8,105480,7.94023070290317e+19,22699498.3550721,-20367971.6471716,-3489041.26357463,16515925.3565903,-4791731.1643364,3637671.06224514,1308246.54694899,0.223494390847843,2.50331102653107,0.350448312240512,2.66285030215075,-4860764.34178082,3606085.80281583,1375646.27610318,-5970060.60488056,3098541.29232047,2458694.60811543
9,105480,8.38717319512443e+19,23790705.5492993,-8320090.55613681,18352035.3818,-17286057.6548527,-4791731.1643364,3637671.06224514,1308246.54694899,0.192637482289383,2.48210399031788,-0.0575154172033595,2.36797866340248,-4814496.97752359,3732611.63718931,1188271.67795246,-5118144.75339971,4998918.01443849,-411939.209850617
24,105480,6.10834194639816e+19,20106684.3369223,-23040931.3402268,12774699.8729005,3395710.99031208,-4791731.1643364,3637671.06224514,1308246.54694899,0.213230940159802,2.49380201885101,0.198605266471018,2.51888862586906,-4837242.31522568,3660457.63332078,1313452.41396465,-5699214.24944426,4092030.65137209,1412050.47560657
2,105480,1.05658739813034e+20,24252629.7851112,-24416587.6874867,-9049136.20386643,-5853721.20378328,-4791731.1643364,3637671.06224514,1308246.54694899,0.203416518349442,2.5197014877846,0.0836844251279996,2.8016797904476,-4940723.9000057,3541352.28818138,1253872.58672675,-6734655.80236525,2381635.87104902,599188.440804319
26,105480,7.17793479508746e+19,21351887.1524332,-7013554.60016146,24134134.8490723,7563867.59336472,-4791731.1643364,3637671.06224514,1308246.54694899,0.215759076057267,2.48414404922338,0.23911742366536,2.35851684445427,-4799026.07294773,3704967.06235451,1328785.61549281,-4929264.20825007,4906422.2188922,1695475.60854382
27,105480,1.00913092918767e+20,25024643.0101765,-14812033.1183749,-8980604.27851875,20471798.14511,-4791731.1643364,3637671.06224514,1308246.54694899,0.244728327943078,2.51956959172878,0.496047454383647,2.77666395798067,-4894024.07049939,3508856.57528736,1503878.91355548,-5892702.33477589,2251250.0307662,3413823.59737924
