Svid,time,A,P,X,Y,Z,x,y,z,lat_bot,long_bot,lat_top,long_top,x_bot_ECEF,y_bot_ECEF,z_bot_ECEF,x_top_ECEF,y_top_ECEF,z_top_ECEF
7,315720,9.1306706738346e+18,22974942.3811679,2937187.44003022,-23624555.9927665,11552035.1899409,4964428.71555054,-4026578.33464989,-471199.878910167,-0.0637087895899528,-0.694226607247644,0.0684796270619616,-0.864066344426607,4954319.61893144,-4124306.1443967,-411244.487091297,4799503.93103028,-5620957.98808712,506941.932284821
16,315720,3.83641624518678e+18,22290629.4742722,26789068.7593613,315201.146450503,700584.219275384,4964428.71555054,-4026578.33464989,-471199.878910167,-0.0723706550413617,-0.672088893018611,-0.0533589622085506,-0.530720648621523,5041426.35627563,-4011260.47483996,-467065.807932668,6380809.63541249,-3744804.44958539,-395153.142948611
4,315720,1.19696186746927e+19,23217442.4573293,5759118.78160665,-16909556.7662739,-19633465.6375508,4964428.71555054,-4026578.33464989,-471199.878910167,-0.087486577713953,-0.688648147293626,-0.274118736174051,-0.788377476022529,4968293.59738416,-4089233.18769274,-564393.308632013,5028058.96192086,-5058108.89807567,-2005508.33866851
1,315720,1.56525782877938e+19,20824525.7134307,14776406.307198,-21139192.5968445,5313185.28368928,4964428.71555054,-4026578.33464989,-471199.878910167,-0.0705110973837844,-0.684538245519126,-0.0209379709607896,-0.733932316745558,4991764.46539212,-4074253.34595496,-455084.829286859,5500581.62351795,-4961657.71226797,-155125.479354744
9,315720,1.93355378723113e+19,24581355.069532,-4769168.40288039,-22906720.9060678,-12602836.3123701,4964428.71555054,-4026578.33464989,-471199.878910167,-0.089807994620159,-0.710277625866511,-0.239346466253784,-0.992501377622303,4877673.86643,-4194855.68373558,-579328.279496746,3933519.94559655,-6026219.81539303,-1756090.78213703
26,315720,1.90286245652647e+19,23588731.9331902,23662377.6853457,5683209.59260741,-10937035.9824068,4964428.71555054,-4026578.33464989,-471199.878910167,-0.0817052296990669,-0.665411364659117,-0.183599236807402,-0.456202019496314,5064445.69877848,-3974639.82001194,-527182.562129635,6539041.62761874,-3208886.64726741,-1352560.75387975
22,315720,-5.21752609116733e+18,20771890.9621898,23086162.1633111,-9715128.94819415,-8412333.93432294,4964428.71555054,-4026578.33464989,-471199.878910167,-0.0763967087784951,-0.678481644138534,-0.121724512872944,-0.63010515405492,5014176.79527658,-4042194.63704524,-493000.010296199,5942213.4228307,-4333512.42638823,-899675.414113661
11,315750,3.60623126132884e+18,22483416.9670159,12726315.0335172,-16054692.5969065,16573231.6786356,4964547.28562046,-4027114.28366882,-470938.921306203,-0.0623239690242737,-0.684296173958058,0.100992156761371,-0.72467935360871,4995785.40984716,-4075520.65161213,-402342.702527781,5519192.24037291,-4886588.03320673,747013.423861482
27,315750,2.17908442715175e+19,25078156.3202662,18499172.9125237,5702673.4859218,18193588.6003569,4964547.28562046,-4027114.28366882,-470938.921306203,-0.0333908595829645,-0.647440090220584,0.243168398938779,-0.407909063206879,5149664.58404949,-3894036.93998417,-215658.353781919,6599343.51250772,-2851890.02755616,1783478.74861421
8,315750,1.87984396099903e+19,24103640.1659339,14029495.316483,-5959096.53482955,21782107.0722605,4964547.28562046,-4027114.28366882,-470938.921306203,-0.047968342652308,-0.676791162404029,0.231729444865886,-0.624484247277341,5030209.26657598,-4041108.6034763,-309748.909266722,5849467.84950301,-4215714.46287421,1701404.25613809
3,315750,1.38110984740973e+19,21439889.85538,16774486.5248314,-12413962.4255426,-16426217.1106484,4964547.28562046,-4027114.28366882,-470938.921306203,-0.0808850208749311,-0.681057683233298,-0.195292577239906,-0.673792504562922,5002294.36765286,-4053920.43723085,-521935.389828524,5680253.90717614,-4535374.54035089,-1437861.61392779
